IATA,Latitude,Longitude
BTI,70.13400269,-143.5820007
LUR,68.87509918,-166.1100006
PIZ,69.73290253,-163.0050049
ITO,19.72139931,-155.0480042
ORL,28.5454998,-81.332901
BTT,66.91390228,-151.529007
Z84,64.301201,-149.119995
UTO,65.99279785,-153.7039948
FYU,66.57150269,-145.25
SVW,61.09740067,-155.5740051
FRN,61.26639938,-149.6529999
TLJ,62.89440155,-155.977005
CZF,61.78030014,-166.0390015
BED,42.47000122,-71.28900146
SNP,57.16730118,-170.2200012
EHM,58.64640045,-162.0630035
STG,56.57830048,-169.6620026
ILI,59.75439835,-154.9109955
PTU,59.01139832,-161.8200073
BMX,59.36119843,-155.2590027
OSC,44.45159912,-83.39409637
OAR,36.68190002,-121.762001
MHR,38.55390167,-121.2979965
BYS,35.2804985,-116.6299973
NXP,34.2961998,-116.1620026
FSM,35.33660126,-94.36740112
MRI,61.21350098,-149.8439941
GNT,35.16730118,-107.9020004
PNC,36.73199844,-97.09980011
SVN,32.00999832,-81.14569855
GFK,47.949299,-97.176102
PBF,34.17309952,-91.93560028
NSE,30.7241993,-87.02189636
HNM,20.79560089,-156.0140076
PRC,34.65449905,-112.4199982
TTN,40.27669907,-74.81349945
BOS,42.36429977,-71.00520325
SUU,38.26269913,-121.927002
RME,43.23379898,-75.40699768
ENV,40.71870041,-114.0309982
BFM,30.62680054,-88.06809998
OAK,37.72129822,-122.2210007
OMA,41.30319977,-95.89409637
NOW,48.14149857,-123.4140015
OGG,20.89859962,-156.4299927
ICT,37.64989853,-97.43309784
MCI,39.2976,-94.713898
MSN,43.13990021,-89.33750153
DLG,59.04470062,-158.5050049
HRO,36.26150131,-93.15470123
PHX,33.43429947,-112.012001
BGR,44.80739975,-68.82810211
FXE,26.19729996,-80.17070007
GGG,32.38399887,-94.71150208
AND,34.49459839,-82.70939636
GEG,47.61989975,-117.5339966
HWO,26.00119972,-80.24069977
SFO,37.61899948,-122.375
CTB,48.60839844,-112.3759995
ARA,30.0378,-91.883904
GNV,29.69009972,-82.27179718
MEM,35.04240036,-89.97669983
DUG,31.46899986,-109.6039963
BIG,63.99449921,-145.7220001
CNW,31.63780022,-97.07409668
ANN,55.04240036,-131.5720062
CAR,46.87149811,-68.01789856
LRF,34.91690063,-92.14969635
HUA,34.67869949,-86.68479919
POB,35.17089844,-79.01450348
DHT,36.02259827,-102.5469971
DLF,29.35950089,-100.7779999
LAX,33.94250107,-118.4079971
ANB,33.58819962,-85.85810089
CLE,41.4117012,-81.84980011
DOV,39.12950134,-75.46600342
CVG,39.04880142,-84.6678009
FME,39.08539963,-76.75939941
NID,35.6853981,-117.6920013
HON,44.3852005,-98.22850037
JNU,58.35499954,-134.576004
LFT,30.20529938,-91.98760223
EWR,40.69250107,-74.16870117
BOI,43.56439972,-116.2229996
INS,36.58720016,-115.6729965
GCK,37.92750168,-100.723999
MOT,48.25939941,-101.2799988
HHI,21.48349953,-158.0399933
MXF,32.38290024,-86.36579895
\N,34.85010147,-92.30020142
DAL,32.8470993,-96.85179901
FCS,38.67839813,-104.7570038
HLN,46.60680008,-111.9830017
NKX,32.86840057,-117.1429977
LUF,33.53499985,-112.3830032
\N,30.42779922,-86.68930054
HHR,33.922798,-118.334999
HUL,46.12310028,-67.792099
END,36.33919907,-97.91649628
NTD,34.12030029,-119.1210022
EDW,34.905399,-117.884003
LCH,30.12610054,-93.22329712
KOA,19.73880005,-156.0460052
MYR,33.67969894,-78.92829895
NLC,36.33300018,-119.9520035
ACK,41.25310135,-70.06020355
FAF,37.13249969,-76.6088028
HOP,36.66859818,-87.49620056
DCA,38.8521,-77.037697
NHK,38.2859993,-76.41179657
PSX,28.72750092,-96.25099945
BYH,35.96429825,-89.94400024
ACY,39.45759964,-74.57720184
TIK,35.41469955,-97.38659668
PUB,38.28910065,-104.4970016
PQI,46.68899918,-68.0447998
GRF,47.07920074,-122.5810013
ADQ,57.75,-152.4940033
UPP,20.26530075,-155.8600006
FLL,26.07259941,-80.15270233
MKO,35.65650177,-95.36669922
INL,48.56620026,-93.40309906
SLC,40.78839874,-111.9779968
CDS,34.43379974,-100.288002
BIX,30.41040039,-88.92440033
LSF,32.33729935,-84.99130249
FRI,39.05530167,-96.76450348
MDT,40.19350052,-76.76339722
LNK,40.85100174,-96.75920105
LAN,42.77870178,-84.58740234
MUE,20.00130081,-155.6679993
MSS,44.93579865,-74.84559631
HKY,35.74110031,-81.38950348
SPG,27.76510048,-82.6269989
FMY,26.58659935,-81.86329651
IAH,29.9843998,-95.34140015
MLT,45.64780045,-68.68560028
ADW,38.81079865,-76.86699677
INT,36.13370132,-80.22200012
VCV,34.59749985,-117.3830032
CEW,30.77879906,-86.52210236
GTB,44.05559921,-75.71949768
PHN,42.9109993,-82.52890015
BFL,35.43360138,-119.0569992
ELP,31.80719948,-106.3779984
HRL,26.22850037,-97.65440369
CAE,33.93880081,-81.11949921
DMA,32.16650009,-110.8830032
NPA,30.35269928,-87.31860352
PNS,30.47340012,-87.18659973
RDR,47.96110153,-97.40119934
HOU,29.64539909,-95.27890015
BKF,39.7016983,-104.7519989
ORT,62.9612999,-141.9290009
PAQ,61.59489822,-149.0890045
PIT,40.49150085,-80.23290253
BRW,71.285402,-156.766008
EFD,29.6072998,-95.15879822
NUW,48.35179901,-122.6559982
ALI,27.74090004,-98.02690125
VAD,30.96780014,-83.19300079
MIA,25.79319954,-80.29060364
SEA,47.44900131,-122.3089981
CHA,35.03530121,-85.20379639
BDR,41.16350174,-73.12619781
JAN,32.31119919,-90.07589722
GLS,29.26530075,-94.86039734
LGB,33.81769943,-118.1520004
HDH,21.5795002,-158.1970062
IPT,41.2417984,-76.9210968
IND,39.7173,-86.294403
SZL,38.7303009,-93.54789734
AKC,41.03749847,-81.46690369
GWO,33.49430084,-90.08470154
HPN,41.06700134,-73.70760345
FOK,40.84370041,-72.63179779
JBR,35.83169937,-90.64640045
\N,37.79880142,-116.7809982
LNA,26.59300041,-80.08509827
NZY,32.69919968,-117.2149963
BIF,31.84950066,-106.3799973
YUM,32.65660095,-114.6060028
CNM,32.33750153,-104.2630005
DLH,46.84209824,-92.19360352
BET,60.77980042,-161.8379974
LOU,38.22800064,-85.66369629
FHU,31.58849907,-110.3440018
LIH,21.97599983,-159.3390045
HUF,39.45149994,-87.30760193
HVR,48.54299927,-109.762001
MWH,47.20769882,-119.3199997
MPV,44.20349884,-72.56230164
\N,33.2397995,-119.4580002
RIC,37.50519943,-77.31970215
SHV,32.44660187,-93.82559967
CDV,60.4917984,-145.4779968
ORF,36.89459991,-76.20120239
BPT,29.95079994,-94.02069855
SAV,32.12760162,-81.20210266
HIF,41.12403,-111.973086
OME,64.5121994,-165.4450073
\N,45.77099991,-122.8619995
PIE,27.91020012,-82.68740082
MNM,45.12670135,-87.63839722
CXO,30.35180092,-95.41449738
SCC,70.19470215,-148.4649963
SAT,29.53370094,-98.46980286
ROC,43.1189003,-77.67240143
COF,28.23489952,-80.61009979
TEB,40.85010147,-74.06079865
RCA,44.14500046,-103.1039963
RDU,35.87760162,-78.78749847
DAY,39.90240097,-84.2193985
ENA,60.57310104,-151.2449951
MLC,34.88240051,-95.78350067
IAG,43.1072998,-78.94619751
CFD,30.71570015,-96.33139801
\N,31.88909912,-81.56230164
PHF,37.13190079,-76.49299622
ESF,31.39489937,-92.29579926
LTS,34.667099,-99.26670074
TUS,32.11610031,-110.9410019
MIB,48.41559982,-101.3580017
BAB,39.13610077,-121.4369965
IKK,41.07139969,-87.84629822
GSB,35.33940125,-77.96060181
PVD,41.73260117,-71.42040253
SBY,38.34049988,-75.51029968
RIU,38.48680115,-121.1029968
BUR,34.20069885,-118.3590012
DTW,42.21239853,-83.35340118
TPA,27.97550011,-82.53320313
PMB,48.94250107,-97.24079895
POE,31.0447998,-93.1917038
EIL,64.66570282,-147.102005
HIB,47.38660049,-92.83899689
LFK,31.23399925,-94.75
MAF,31.94249916,-102.2020035
GRB,44.48509979,-88.12960052
ADM,34.30301,-97.0196342
WRI,40.0155983,-74.59169769
\N,34.90090179,-76.88069916
SBO,32.60910034,-82.36990356
AGS,33.36989975,-81.96450043
ISN,48.17789841,-103.6419983
LIT,34.72940063,-92.22429657
SWF,41.5041008,-74.10479736
BDE,48.72840118,-94.61219788
SAC,38.51250076,-121.4929962
HOM,59.64559937,-151.477005
TBN,37.74160004,-92.14070129
MGE,33.91540146,-84.51629639
SKA,47.61510086,-117.6559982
HTL,44.359798,-84.671095
PAM,30.06959915,-85.57540131
DFW,32.89680099,-97.03800201
MLB,28.10280037,-80.64530182
TCM,47.13769913,-122.4759979
AUS,30.19449997,-97.66989899
LCK,39.813801,-82.927803
MQT,46.35359955,-87.395401
TYS,35.81100082,-83.9940033
HLR,31.13870049,-97.71450043
STL,38.74869919,-90.37000275
MIV,39.36780167,-75.07219696
SPS,33.98880005,-98.49189758
LUK,39.10329819,-84.41860199
ATL,33.63669968,-84.42810059
MER,37.38050079,-120.5680008
MCC,38.66759872,-121.401001
GRR,42.88079834,-85.52279663
INK,31.77960014,-103.2009964
FAT,36.77619934,-119.7180023
VRB,27.65559959,-80.41790009
IPL,32.83420181,-115.5790024
BNA,36.12450027,-86.67819977
LRD,27.54380035,-99.46160126
EDF,61.25099945,-149.8070068
OTZ,66.88469696,-162.598999
AOO,40.29639816,-78.31999969
DYS,32.42079926,-99.854599
ELD,33.22100067,-92.81330109
LGA,40.77719879,-73.87259674
TLH,30.39649963,-84.35030365
DPA,41.90779877,-88.24859619
ACT,31.61129951,-97.23049927
AUG,44.3205986,-69.79730225
INJ,32.08349991,-97.09719849
MKL,35.59989929,-88.91560364
MKK,21.1529007,-157.095993
FTK,37.90710068,-85.9720993
\N,34.70840073,-77.43969727
SJT,31.35770035,-100.4960022
CXL,32.66949844,-115.5130005
CIC,39.79539871,-121.8580017
BTV,44.47190094,-73.15329742
JAX,30.49410057,-81.68789673
DRO,37.1515007,-107.7539978
IAD,38.94449997,-77.45580292
CLL,30.58860016,-96.36380005
SFF,47.68280029,-117.322998
MKE,42.94720078,-87.89659882
ABI,32.41130066,-99.68190002
COU,38.81809998,-92.21959686
PDX,45.58869934,-122.5979996
TNT,25.86179924,-80.89700317
PBI,26.68320084,-80.09559631
FTW,32.81980133,-97.36239624
OGS,44.68190002,-75.46549988
BFI,47.52999878,-122.302002
SKF,29.38419914,-98.58110046
HNL,21.31870079,-157.9219971
DSM,41.5340004,-93.6631012
EWN,35.07300186,-77.04290009
SAN,32.73360062,-117.1900024
MLU,32.51089859,-92.03769684
SSC,33.97269821,-80.47059631
ONT,34.05599976,-117.6009979
GVT,33.06779861,-96.06529999
