IATA,Longitude,Latitude
BTI,-143.5820007,70.13400269
LUR,-166.1100006,68.87509918
PIZ,-163.0050049,69.73290253
ITO,-155.0480042,19.72139931
ORL,-81.332901,28.5454998
BTT,-151.529007,66.91390228
Z84,-149.119995,64.301201
UTO,-153.7039948,65.99279785
FYU,-145.25,66.57150269
SVW,-155.5740051,61.09740067
FRN,-149.6529999,61.26639938
TLJ,-155.977005,62.89440155
CZF,-166.0390015,61.78030014
BED,-71.28900146,42.47000122
SNP,-170.2200012,57.16730118
EHM,-162.0630035,58.64640045
STG,-169.6620026,56.57830048
ILI,-154.9109955,59.75439835
PTU,-161.8200073,59.01139832
BMX,-155.2590027,59.36119843
OSC,-83.39409637,44.45159912
OAR,-121.762001,36.68190002
MHR,-121.2979965,38.55390167
BYS,-116.6299973,35.2804985
NXP,-116.1620026,34.2961998
FSM,-94.36740112,35.33660126
MRI,-149.8439941,61.21350098
GNT,-107.9020004,35.16730118
PNC,-97.09980011,36.73199844
SVN,-81.14569855,32.00999832
GFK,-97.176102,47.949299
PBF,-91.93560028,34.17309952
NSE,-87.02189636,30.7241993
HNM,-156.0140076,20.79560089
PRC,-112.4199982,34.65449905
TTN,-74.81349945,40.27669907
BOS,-71.00520325,42.36429977
SUU,-121.927002,38.26269913
RME,-75.40699768,43.23379898
ENV,-114.0309982,40.71870041
BFM,-88.06809998,30.62680054
OAK,-122.2210007,37.72129822
OMA,-95.89409637,41.30319977
NOW,-123.4140015,48.14149857
OGG,-156.4299927,20.89859962
ICT,-97.43309784,37.64989853
MCI,-94.713898,39.2976
MSN,-89.33750153,43.13990021
DLG,-158.5050049,59.04470062
HRO,-93.15470123,36.26150131
PHX,-112.012001,33.43429947
BGR,-68.82810211,44.80739975
FXE,-80.17070007,26.19729996
GGG,-94.71150208,32.38399887
AND,-82.70939636,34.49459839
GEG,-117.5339966,47.61989975
HWO,-80.24069977,26.00119972
SFO,-122.375,37.61899948
CTB,-112.3759995,48.60839844
ARA,-91.883904,30.0378
GNV,-82.27179718,29.69009972
MEM,-89.97669983,35.04240036
DUG,-109.6039963,31.46899986
BIG,-145.7220001,63.99449921
CNW,-97.07409668,31.63780022
ANN,-131.5720062,55.04240036
CAR,-68.01789856,46.87149811
LRF,-92.14969635,34.91690063
HUA,-86.68479919,34.67869949
POB,-79.01450348,35.17089844
DHT,-102.5469971,36.02259827
DLF,-100.7779999,29.35950089
LAX,-118.4079971,33.94250107
ANB,-85.85810089,33.58819962
CLE,-81.84980011,41.4117012
DOV,-75.46600342,39.12950134
CVG,-84.6678009,39.04880142
FME,-76.75939941,39.08539963
NID,-117.6920013,35.6853981
HON,-98.22850037,44.3852005
JNU,-134.576004,58.35499954
LFT,-91.98760223,30.20529938
EWR,-74.16870117,40.69250107
BOI,-116.2229996,43.56439972
INS,-115.6729965,36.58720016
GCK,-100.723999,37.92750168
MOT,-101.2799988,48.25939941
HHI,-158.0399933,21.48349953
MXF,-86.36579895,32.38290024
\N,-92.30020142,34.85010147
DAL,-96.85179901,32.8470993
FCS,-104.7570038,38.67839813
HLN,-111.9830017,46.60680008
NKX,-117.1429977,32.86840057
LUF,-112.3830032,33.53499985
\N,-86.68930054,30.42779922
HHR,-118.334999,33.922798
HUL,-67.792099,46.12310028
END,-97.91649628,36.33919907
NTD,-119.1210022,34.12030029
EDW,-117.884003,34.905399
LCH,-93.22329712,30.12610054
KOA,-156.0460052,19.73880005
MYR,-78.92829895,33.67969894
NLC,-119.9520035,36.33300018
ACK,-70.06020355,41.25310135
FAF,-76.6088028,37.13249969
HOP,-87.49620056,36.66859818
DCA,-77.037697,38.8521
NHK,-76.41179657,38.2859993
PSX,-96.25099945,28.72750092
BYH,-89.94400024,35.96429825
ACY,-74.57720184,39.45759964
TIK,-97.38659668,35.41469955
PUB,-104.4970016,38.28910065
PQI,-68.0447998,46.68899918
GRF,-122.5810013,47.07920074
ADQ,-152.4940033,57.75
UPP,-155.8600006,20.26530075
FLL,-80.15270233,26.07259941
MKO,-95.36669922,35.65650177
INL,-93.40309906,48.56620026
SLC,-111.9779968,40.78839874
CDS,-100.288002,34.43379974
BIX,-88.92440033,30.41040039
LSF,-84.99130249,32.33729935
FRI,-96.76450348,39.05530167
MDT,-76.76339722,40.19350052
LNK,-96.75920105,40.85100174
LAN,-84.58740234,42.77870178
MUE,-155.6679993,20.00130081
MSS,-74.84559631,44.93579865
HKY,-81.38950348,35.74110031
SPG,-82.6269989,27.76510048
FMY,-81.86329651,26.58659935
IAH,-95.34140015,29.9843998
MLT,-68.68560028,45.64780045
ADW,-76.86699677,38.81079865
INT,-80.22200012,36.13370132
VCV,-117.3830032,34.59749985
CEW,-86.52210236,30.77879906
GTB,-75.71949768,44.05559921
PHN,-82.52890015,42.9109993
BFL,-119.0569992,35.43360138
ELP,-106.3779984,31.80719948
HRL,-97.65440369,26.22850037
CAE,-81.11949921,33.93880081
DMA,-110.8830032,32.16650009
NPA,-87.31860352,30.35269928
PNS,-87.18659973,30.47340012
RDR,-97.40119934,47.96110153
HOU,-95.27890015,29.64539909
BKF,-104.7519989,39.7016983
ORT,-141.9290009,62.9612999
PAQ,-149.0890045,61.59489822
PIT,-80.23290253,40.49150085
BRW,-156.766008,71.285402
EFD,-95.15879822,29.6072998
NUW,-122.6559982,48.35179901
ALI,-98.02690125,27.74090004
VAD,-83.19300079,30.96780014
MIA,-80.29060364,25.79319954
SEA,-122.3089981,47.44900131
CHA,-85.20379639,35.03530121
BDR,-73.12619781,41.16350174
JAN,-90.07589722,32.31119919
GLS,-94.86039734,29.26530075
LGB,-118.1520004,33.81769943
HDH,-158.1970062,21.5795002
IPT,-76.9210968,41.2417984
IND,-86.294403,39.7173
SZL,-93.54789734,38.7303009
AKC,-81.46690369,41.03749847
GWO,-90.08470154,33.49430084
HPN,-73.70760345,41.06700134
FOK,-72.63179779,40.84370041
JBR,-90.64640045,35.83169937
\N,-116.7809982,37.79880142
LNA,-80.08509827,26.59300041
NZY,-117.2149963,32.69919968
BIF,-106.3799973,31.84950066
YUM,-114.6060028,32.65660095
CNM,-104.2630005,32.33750153
DLH,-92.19360352,46.84209824
BET,-161.8379974,60.77980042
LOU,-85.66369629,38.22800064
FHU,-110.3440018,31.58849907
LIH,-159.3390045,21.97599983
HUF,-87.30760193,39.45149994
HVR,-109.762001,48.54299927
MWH,-119.3199997,47.20769882
MPV,-72.56230164,44.20349884
\N,-119.4580002,33.2397995
RIC,-77.31970215,37.50519943
SHV,-93.82559967,32.44660187
CDV,-145.4779968,60.4917984
ORF,-76.20120239,36.89459991
BPT,-94.02069855,29.95079994
SAV,-81.20210266,32.12760162
HIF,-111.973086,41.12403
OME,-165.4450073,64.5121994
\N,-122.8619995,45.77099991
PIE,-82.68740082,27.91020012
MNM,-87.63839722,45.12670135
CXO,-95.41449738,30.35180092
SCC,-148.4649963,70.19470215
SAT,-98.46980286,29.53370094
ROC,-77.67240143,43.1189003
COF,-80.61009979,28.23489952
TEB,-74.06079865,40.85010147
RCA,-103.1039963,44.14500046
RDU,-78.78749847,35.87760162
DAY,-84.2193985,39.90240097
ENA,-151.2449951,60.57310104
MLC,-95.78350067,34.88240051
IAG,-78.94619751,43.1072998
CFD,-96.33139801,30.71570015
\N,-81.56230164,31.88909912
PHF,-76.49299622,37.13190079
ESF,-92.29579926,31.39489937
LTS,-99.26670074,34.667099
TUS,-110.9410019,32.11610031
MIB,-101.3580017,48.41559982
BAB,-121.4369965,39.13610077
IKK,-87.84629822,41.07139969
GSB,-77.96060181,35.33940125
PVD,-71.42040253,41.73260117
SBY,-75.51029968,38.34049988
RIU,-121.1029968,38.48680115
BUR,-118.3590012,34.20069885
DTW,-83.35340118,42.21239853
TPA,-82.53320313,27.97550011
PMB,-97.24079895,48.94250107
POE,-93.1917038,31.0447998
EIL,-147.102005,64.66570282
HIB,-92.83899689,47.38660049
LFK,-94.75,31.23399925
MAF,-102.2020035,31.94249916
GRB,-88.12960052,44.48509979
ADM,-97.0196342,34.30301
WRI,-74.59169769,40.0155983
\N,-76.88069916,34.90090179
SBO,-82.36990356,32.60910034
AGS,-81.96450043,33.36989975
ISN,-103.6419983,48.17789841
LIT,-92.22429657,34.72940063
SWF,-74.10479736,41.5041008
BDE,-94.61219788,48.72840118
SAC,-121.4929962,38.51250076
HOM,-151.477005,59.64559937
TBN,-92.14070129,37.74160004
MGE,-84.51629639,33.91540146
SKA,-117.6559982,47.61510086
HTL,-84.671095,44.359798
PAM,-85.57540131,30.06959915
DFW,-97.03800201,32.89680099
MLB,-80.64530182,28.10280037
TCM,-122.4759979,47.13769913
AUS,-97.66989899,30.19449997
LCK,-82.927803,39.813801
MQT,-87.395401,46.35359955
TYS,-83.9940033,35.81100082
HLR,-97.71450043,31.13870049
STL,-90.37000275,38.74869919
MIV,-75.07219696,39.36780167
SPS,-98.49189758,33.98880005
LUK,-84.41860199,39.10329819
ATL,-84.42810059,33.63669968
MER,-120.5680008,37.38050079
MCC,-121.401001,38.66759872
GRR,-85.52279663,42.88079834
INK,-103.2009964,31.77960014
FAT,-119.7180023,36.77619934
VRB,-80.41790009,27.65559959
IPL,-115.5790024,32.83420181
BNA,-86.67819977,36.12450027
LRD,-99.46160126,27.54380035
EDF,-149.8070068,61.25099945
OTZ,-162.598999,66.88469696
AOO,-78.31999969,40.29639816
DYS,-99.854599,32.42079926
ELD,-92.81330109,33.22100067
LGA,-73.87259674,40.77719879
TLH,-84.35030365,30.39649963
DPA,-88.24859619,41.90779877
ACT,-97.23049927,31.61129951
AUG,-69.79730225,44.3205986
INJ,-97.09719849,32.08349991
MKL,-88.91560364,35.59989929
MKK,-157.095993,21.1529007
FTK,-85.9720993,37.90710068
\N,-77.43969727,34.70840073
SJT,-100.4960022,31.35770035
CXL,-115.5130005,32.66949844
CIC,-121.8580017,39.79539871
BTV,-73.15329742,44.47190094
JAX,-81.68789673,30.49410057
DRO,-107.7539978,37.1515007
IAD,-77.45580292,38.94449997
CLL,-96.36380005,30.58860016
SFF,-117.322998,47.68280029
MKE,-87.89659882,42.94720078
ABI,-99.68190002,32.41130066
COU,-92.21959686,38.81809998
PDX,-122.5979996,45.58869934
TNT,-80.89700317,25.86179924
PBI,-80.09559631,26.68320084
FTW,-97.36239624,32.81980133
OGS,-75.46549988,44.68190002
BFI,-122.302002,47.52999878
SKF,-98.58110046,29.38419914
HNL,-157.9219971,21.31870079
DSM,-93.6631012,41.5340004
EWN,-77.04290009,35.07300186
SAN,-117.1900024,32.73360062
MLU,-92.03769684,32.51089859
SSC,-80.47059631,33.97269821
ONT,-117.6009979,34.05599976
GVT,-96.06529999,33.06779861
ROW,-104.5309982,33.30160141
DET,-83.00990295,42.40919876
BRO,-97.42590332,25.90679932
DHN,-85.44960022,31.32130051
WWD,-74.90830231,39.00849915
MTC,-82.83550262,42.60829926
FMN,-108.2300034,36.74119949
CRP,-97.50119781,27.77039909
SYR,-76.10630035,43.11119843
NQX,-81.68890381,24.57579994
MDW,-87.75240326,41.7859993
SJC,-121.9290009,37.36259842
HOB,-103.2170029,32.6875
PNE,-75.01059723,40.08190155
DEN,-104.6729965,39.86169815
PHL,-75.2410965,39.87189865
SUX,-96.38439941,42.40259933
MCN,-83.64920044,32.69279861
TCS,-107.2720032,33.23690033
PMD,-118.0849991,34.62939835
RND,-98.27890015,29.52969933
NJK,-115.6719971,32.82920074
CMH,-82.89189911,39.9980011
FYV,-94.17009735,36.00510025
FSI,-98.40219879,34.64979935
PNM,-93.60820007,45.55989838
FFO,-84.0483017,39.8260994
GAL,-156.9369965,64.73619843
\N,-111.810997,33.2691
MWL,-98.06020355,32.78160095
IAB,-97.26820374,37.62189865
NBG,-90.03500366,29.82530022
BFT,-80.63439941,32.41220093
TXK,-93.99099731,33.45370102
PBG,-73.4681015,44.65090179
APG,-76.1688,39.466202
TCC,-103.6029968,35.18280029
ANC,-149.9960022,61.17440033
GRK,-97.8289032,31.06719971
ZUN,-108.7919998,35.08319855
BLI,-122.538002,48.7928009
NQA,-89.87030029,35.3567009
EKN,-79.85710144,38.88940048
HFD,-72.6493988,41.73669815
SFZ,-71.49140167,41.92079926
MOB,-88.24279785,30.69120026
NUQ,-122.0490036,37.41609955
SAF,-106.0889969,35.61709976
BKH,-159.7850037,22.02280045
DRI,-93.33989716,30.83169937
BSF,-155.5540009,19.76009941
OLS,-110.8479996,31.41769981
MCF,-82.52120209,27.84930038
BLV,-89.835197,38.5452
OPF,-80.27839661,25.90699959
DRT,-100.927002,29.37420082
RSW,-81.75520325,26.53619957
AKN,-156.6490021,58.67679977
MUI,-76.56939697,40.43479919
JHM,-156.6730042,20.96290016
JFK,-73.77890015,40.63980103
HST,-80.38359833,25.48859978
RAL,-117.4449997,33.95190048
FLV,-94.91470337,39.36830139
WAL,-75.46640015,37.94020081
HMN,-106.1070023,32.85250092
NXX,-75.14820099,40.19979858
CYS,-104.8119965,41.15570068
SCK,-121.237999,37.89419937
CHS,-80.04049683,32.89860153
RNO,-119.7679977,39.49909973
KTN,-131.7140045,55.35559845
YIP,-83.53040314,42.23789978
VBG,-120.5839996,34.73730087
BHM,-86.75350189,33.56290054
NEL,-74.353302,40.03329849
LSV,-115.0339966,36.23619843
RIV,-117.2590027,33.88069916
MOD,-120.9540024,37.62580109
SMF,-121.5910034,38.69540024
UGN,-87.86789703,42.42219925
COS,-104.7009964,38.80580139
BUF,-78.73220062,42.94049835
SKY,-82.65229797,41.4333992
PAE,-122.2819977,47.90629959
MUO,-115.872002,43.043598
CDC,-113.098999,37.70100021
BDL,-72.68319702,41.93889999
MFE,-98.23860168,26.17580032
NGU,-76.28929901,36.93759918
CEF,-72.53479767,42.19400024
LBB,-101.822998,33.66360092
ORD,-87.90480042,41.97859955
BCT,-80.10769653,26.37849998
FAI,-147.8560028,64.81510162
NYG,-77.30529785,38.50170135
CVS,-103.3219986,34.38280106
NGF,-157.7680054,21.45050049
OFF,-95.91249847,41.11830139
GKN,-145.4570007,62.1548996
ART,-76.021698,43.9919014
PSP,-116.5070038,33.82970047
AMA,-101.7060013,35.2193985
FOD,-94.19259644,42.55149841
BAD,-93.66269684,32.50180054
FOE,-95.66359711,38.95090103
COT,-99.22029877,28.45669937
ILM,-77.90260315,34.27059937
BTR,-91.14959717,30.53319931
TYR,-95.40239716,32.35409927
BWI,-76.66829681,39.17539978
HBR,-99.051313,34.991317
LNY,-156.951004,20.78560066
AEX,-92.54979706,31.32740021
WSD,-106.4029999,32.34149933
CDB,-162.7250061,55.20610046
TUL,-95.88809967,36.19839859
SIT,-135.3619995,57.04710007
ISP,-73.10019684,40.79520035
MSP,-93.22180176,44.88199997
ILG,-75.60649872,39.67869949
DUT,-166.5440063,53.90010071
MSY,-90.25800323,29.99340057
PWM,-70.30930328,43.64619827
OKC,-97.60070038,35.39310074
ALB,-73.80169678,42.74829865
VDZ,-146.2480011,61.13389969
LFI,-76.36049652,37.082901
SNA,-117.8679962,33.67570114
CBM,-88.44380188,33.64379883
TMB,-80.43280029,25.64789963
NTU,-76.03350067,36.8207016
GUS,-86.15209961,40.64810181
CPR,-106.4639969,42.90800095
VPS,-86.525398,30.4832
SEM,-86.9878006,32.34389877
EYW,-81.75959778,24.55610085
CLT,-80.94309998,35.2140007
LAS,-115.1520004,36.08010101
MCO,-81.30899811,28.42939949
FLO,-79.72389984,34.1853981
GTF,-111.3710022,47.48199844
YNG,-80.67910004,41.26070023
FBK,-147.6139984,64.83750153
MMV,-123.1360016,45.19440079
WRB,-83.59190369,32.64009857
PUW,-117.110001,46.7439
LWS,-117.0149994,46.37450027
ELM,-76.89160156,42.15990067
ITH,-76.45839691,42.49100113
MRY,-121.8430023,36.5870018
SBA,-119.8399963,34.42620087
DAB,-81.058098,29.179899
TKA,-150.0939941,62.32049942
HVN,-72.88680267,41.26369858
AVL,-82.54180145,35.43619919
GSO,-79.93730164,36.09780121
FSD,-96.74189758,43.58200073
MHT,-71.43569946,42.93259811
APF,-81.77529907,26.15259933
SDF,-85.736,38.1744
CHO,-78.45290375,38.1385994
ROA,-79.97540283,37.32550049
LEX,-84.60590363,38.03649902
EVV,-87.53240204,38.03699875
ABQ,-106.6090012,35.04019928
BZN,-111.1529999,45.77750015
BIL,-108.5429993,45.80770111
BTM,-112.4970016,45.95479965
TVC,-85.5821991,44.74140167
BHB,-68.3615036,44.45000076
RKD,-69.09919739,44.06010056
JAC,-110.737999,43.6072998
RFD,-89.09719849,42.19540024
GSP,-82.21890259,34.89569855
BMI,-88.91590118,40.47710037
GPT,-89.07009888,30.40730095
AZO,-85.55210114,42.23490143
TOL,-83.80780029,41.58679962
FWA,-85.19509888,40.97850037
DEC,-88.86569977,39.83459854
CID,-91.71080017,41.88470078
LSE,-91.256699,43.879002
CWA,-89.66680145,44.77759933
PIA,-89.69329834,40.66419983
ATW,-88.51909637,44.2580986
RST,-92.5,43.90829849
CMI,-88.27809906,40.03919983
MHK,-96.67079926,39.14099884
FKL,-79.86039734,41.37789917
GJT,-108.5270004,39.12239838
SGU,-113.5103056,37.03638889
DWH,-95.55280304,30.0618
S46,-96.44439697,28.42970085
SRQ,-82.55439758,27.39539909
VNY,-118.4899979,34.20980072
MLI,-90.50749969,41.44850159
PFN,-85.6828,30.212099
BIS,-100.7460022,46.77270126
TEX,-107.9079971,37.9538002
RAP,-103.0569992,44.04529953
CLD,-117.2799988,33.12829971
FNT,-83.74359894,42.9654007
RDD,-122.2929993,40.50899887
EUG,-123.211998,44.12459946
IDA,-112.0709991,43.51459885
MFR,-122.8730011,42.37419891
RDM,-121.1500015,44.2541008
CAK,-81.44219971,40.91609955
HSV,-86.77510071,34.6371994
PKB,-81.43920135,39.3451004
MGM,-86.39399719,32.30059814
TRI,-82.40740204,36.47520065
PAH,-88.77380371,37.06079865
PGA,-111.447998,36.92610168
FCA,-114.2559967,48.3105011
MBS,-84.07959747,43.53290176
BGM,-75.97979736,42.20869827
BLH,-114.7170029,33.61920166
PSG,-132.9450073,56.80170059
SFB,-81.23750305,28.77759933
JST,-78.83390045,40.31610107
MSO,-114.0910034,46.91630173
GCN,-112.1470032,35.95240021
SGR,-95.65650177,29.62229919
APA,-104.848999,39.57009888
CVN,-103.0790024,34.42509842
FST,-102.9160004,30.91570091
LVS,-105.1419983,35.65420151
IWS,-95.67259979,29.81819916
LHX,-103.5090027,38.04970169
LRU,-106.9219971,32.28939819
BKD,-98.89099884,32.71900177
TPL,-97.40779877,31.15250015
OZA,-101.2030029,30.73530006
EGE,-106.9179993,39.64260101
CGF,-81.48639679,41.56510162
MFD,-82.51660156,40.82139969
CSG,-84.93890381,32.5163002
LAW,-98.41660309,34.56769943
FNL,-105.0110016,40.4518013
FLG,-111.6709976,35.13850021
TVL,-119.9950027,38.89390182
TWF,-114.487999,42.48180008
MVY,-70.61430359,41.39310074
CON,-71.50229645,43.20270157
GON,-72.04509735,41.33010101
STC,-94.05989838,45.54660034
GTR,-88.59140015,33.45029831
HQM,-123.9369965,46.97119904
ERI,-80.17386675,42.08312701
HYA,-70.28040314,41.66930008
SDX,-111.788002,34.84859848
MGW,-79.91629791,39.64289856
CRW,-81.59320068,38.37310028
AVP,-75.7233963,41.33850098
BJI,-94.93370056,47.50939941
FAR,-96.81580353,46.92070007
MKC,-94.59279633,39.12319946
GCC,-105.5390015,44.34889984
SCE,-77.84870148,40.84930038
MEI,-88.75189972,32.33259964
SPI,-89.67790222,39.84410095
CEZ,-108.6279984,37.3030014
HDN,-107.2180023,40.48120117
GUP,-108.7890015,35.51110077
LBL,-100.9599991,37.0442009
LAA,-102.6880035,38.06969833
GLD,-101.6989975,39.37060165
COD,-109.0240021,44.52019882
SGF,-93.38860321,37.24570084
JLN,-94.49829865,37.15179825
ABE,-75.44080353,40.65209961
XNA,-94.306801,36.281898
SBN,-86.31729889,41.70869827
SMD,-85.15280151,41.14339828
ACV,-124.1090012,40.97809982
OAJ,-77.61209869,34.82920074
TCL,-87.61139679,33.22060013
DBQ,-90.70950317,42.40200043
ABR,-98.42179871,45.44910049
ABY,-84.19450378,31.53549957
AHN,-83.32630157,33.94860077
